"Payeer","Payeer"
"Enabled","Включено"
"Title","Название"
"Merchant URL","URL мерчанта"
"URL for payment in the system Payeer","URL для оплаты в системе Payeer"
"Merchant ID","Идентификатор магазина"
"Store ID, registered in the system Payeer","Идентификатор магазина, зарегистрированного в системе Payeer"
"Secret key","Секретный ключ"
"Secret key of merchant","Секретный ключ магазина"
"IP - filter","IP фильтр"
"List of trusted IP addresses, you can specify the mask","Доверенные IP адреса, можно указать маску"
"Email for errors","Email для ошибок"
"Email to send payment errors","Email для оповещения об ошибках при оплате"
"Path to the log file","Путь до файла для журнала"
"Path to file to log payments through Payeer (for example, /payeer_orders.log)","Путь до файла для журнала оплат через Payeer (например, /payeer_orders.log)"
"Related shipping methods","Связанные способы доставки"
"Related countries","Связанные страны"
"List of specific countries","Список конкретных стран"
"Payment method priority","Приоритет способа оплаты"
" - IP address of the server is not trusted"," - IP адрес сервера не является доверенным"
"   Trusted IP: ","   Доверенные IP: "
"   IP of the current server: ","   IP адрес текущего сервера: "
" - Invalid digital signature"," - Неверная цифровая подпись"
" - Wrong amount"," - Неправильная сумма"
" - Wrong currency"," - Неправильная валюта"
" - Payment status is not success"," - Статус платежа не является success"
"Failed to make the payment through the system Payeer for the following reasons:","Не удалось произвести оплату через систему Payeer по следующим причинам:"
"Payment error","Ошибка оплаты"
